event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
IDN2700,"21 December 2015",2015,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)",,6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,"East Java",Pamekasan,Proppo,Pamekasan,-7.1547,113.4379,1,Tribunnews,National,"On 21 December 2015, around 14 anti-corruption activists held a protest in Pamekasan district, Pamekasan regency, East Java province. The police intervened and dispersed the protest, as it did not have a permit.",0,"crowd size=14",1649355997
IDN2699,"21 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,"South Sumatra","Ogan Komering Ilir","Kayu Agung","Kayu Agung",-3.392,104.8306,1,Tribunnews,National,"On 21 December 2015, hundreds of people held a peaceful protest in Kayu Agung district, Ogan Komering Ilir regency, South Sumatra province, demanding the General Election Commission postpone the election result announcement.",0,"crowd size=hundreds",1649355997
IDN2698,"21 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,"Central Jakarta",Gambir,"Jakarta - Central",-6.1806,106.8283,1,JPNN,National,"On 21 December 2015, dozens of bus drivers held a peaceful protest in Central Jakarta City, Jakarta province, after the government seized several buses. The reason for seizing was unclear.",0,"crowd size=dozens",1663790297
IDN2697,"20 December 2015",2015,1,"Political violence; Demonstrations",Protests,"Excessive force against protesters","Protesters (Indonesia)","Labor Group (Indonesia); Papuan Ethnic Group (Indonesia)",6,"Military Forces of Indonesia (2014-)",,1,16,"Civilian targeting",360,"Southeast Asia",Indonesia,Papua,Keerom,"East Arso","East Arso",-2.9892,140.8628,2,HumanRightsPapua,Other,"On 20 December 2015, a demonstration was staged by palm oil labourers in front of the Indonesian Palm Oil Company, PT. Tandan Sawita Papua in Kebun 5 Raflesia, Arso Timur district, Keerom regency, Papua province, to demonstrate against their unpaid Christmas holiday allowance. The company reported it to a nearby military post that sent ten military personnel who approached and opened fire on the demonstrators. One labourer was shot in the thigh and subsequently died of blood loss.",1,"crowd size=no report",1576600005
IDN2695,"19 December 2015",2015,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)","AMP: Papuan Students Alliance; Papuan Ethnic Group (Indonesia); Students (Indonesia)",6,"Police Forces of Indonesia (2014-)","Police Forces of Indonesia (2014-) Mobile Brigade Corps",1,16,,360,"Southeast Asia",Indonesia,Jakarta,,,Jakarta,-6.2146,106.845,1,"Papuans Behind Bars",Other,"On 19 December 2015, AMP activists gathered in remembrance and protest of Operation Trikora in 1954 in Jakarta. At least 23 students were arrested by metro and Brimob police officers. They were later released the same day.",0,"crowd size=23",1618442064
IDN408,"19 December 2015",2015,1,Demonstrations,Riots,"Violent demonstration","Rioters (Indonesia)",,5,,,0,50,,360,"Southeast Asia",Indonesia,"North Kalimantan",Bulungan,"Tanjung Selor","Tanjung Selor",2.8375,117.365,1,Tribunnews,National,"On 19 December 2015, hundreds of supporters of a defeated governor candidate held a demonstration in Tanjung Selor district, Bulungan Regency, North Kalimantan province. They brought sharp weapons, burned a government building and two cars. They demanded the winning candidate to be disqualified.",0,"crowd size=hundreds",1649355997
IDN2696,"19 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,"South Jakarta","Mampang Prapatan","Jakarta - South",-6.266,106.8135,1,Tempo,National,"On 19 December 2015, dozens of people held a peaceful protest in South Jakarta City, Jakarta province. They were to be evicted from their houses as the land would be taken by the military.",0,"crowd size=dozens",1659475469
IDN2694,"17 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,"West Java",Cianjur,Cianjur,Cianjur,-6.8222,107.1394,1,Tribunnews,National,"On 17 December 2015, hundreds of an election candidate's supporters in Cianjur city, West Java province, held a peaceful protest demanding an open counting of the election result.",0,"crowd size=hundreds",1649355997
IDN407,"17 December 2015",2015,1,"Political violence",Riots,"Mob violence","Rioters (Indonesia)","Prisoners (Indonesia)",5,"Rioters (Indonesia)","Prisoners (Indonesia)",5,55,,360,"Southeast Asia",Indonesia,Bali,Jembrana,Negara,Kerobokan,-8.3675,114.6213,1,"Australian Associated Press",International,"On 17 December 2015, four people were killed after riots in Bali's Kerobokan prison. Two groups of inmates entered in to a clash resulting in the death of two. Following the event, another clash took place which also led to the death of two more. More than 50 people were hurt in riots.",4,,1650490679
IDN2693,"17 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,"Central Jakarta",Gambir,"Jakarta - Central",-6.1806,106.8283,1,Tribunnews,National,"On 17 December 2015, a group of state-owned water company employees held a peaceful protest in Central Jakarta City, Jakarta province, demanding a fair salary.",0,"crowd size=no report",1663790297
IDN2692,"16 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,Jambi,Jambi,Jelutung,Jambi,-1.6,103.6166,1,Tribunnews,National,"On 16 December 2015, around a hundred people held a peaceful protest in Jambi city, Jambi province, accusing the Jambi election of being fraudulent and demanding a re-election.",0,"crowd size=around 100",1649355997
IDN2691,"16 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,"Protesters (Indonesia)",,6,66,,360,"Southeast Asia",Indonesia,Jakarta,"Central Jakarta",Gambir,"Jakarta - Central",-6.1806,106.8283,1,Tribunnews,National,"On 16 December 2015, two groups of protesters held a peaceful protest in front of the People's Representative Council building in Central Jakarta City, Jakarta province. One group demanded the Indonesian president and vice president step down from office. Meanwhile, the other group was supporting Indonesia's leaders. They verbally mocked each other.",0,"crowd size=no report",1663790297
IDN2689,"15 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,"East Java",Kediri,Gurah,Gurah,-7.8121,112.075,1,Tribunnews,National,"On 15 December 2015, dozens of people held a peaceful protest in Gurah district, Kediri regency, East Java province, demanding the government halt the erection of a telecommunication tower in their district.",0,"crowd size=dozens",1649355997
IDN2690,"15 December 2015",2015,1,"Political violence",Riots,"Mob violence","Rioters (Indonesia)",,5,"Rioters (Indonesia)",,5,55,,360,"Southeast Asia",Indonesia,Jambi,Merangin,Bangko,Bangko,-2.0735,102.2662,1,Tribunnews,National,"On 15 December 2015, a riot broke out between two groups of indigenous people in Bangko district, Merangin regency, Jambi province. Hundreds of villagers from Kungkai Seberang destroyed the village of Kungkai after a Kungkai villager allegedly attacked Kungkai Seberang villager.",0,"crowd size=hundreds",1649355997
IDN2687,"14 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,"East Kalimantan",Balikpapan,"South Balikpapan",Balikpapan,-1.2675,116.8288,1,Kompas,National,"On 14 December 2015, around 300 people held a peaceful protest in Balikpapan City, East Kalimantan province, demanding the election committee investigate corruption in the last election.",0,"crowd size=around 300",1649355997
IDN2688,"14 December 2015",2015,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)","Health Workers (Indonesia)",6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,"West Java",Bogor,"Central Bogor",Bogor,-6.5944,106.7891,1,Tribunnews,National,"On 14 December 2015, hundreds of hospital employees held a protest in Bogor city, West Java province, demanding the hospital's board of directors step down. The police intervened.",0,"crowd size=hundreds",1649355997
IDN406,"14 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Lawyers (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,"Central Jakarta",Gambir,"Jakarta - Central",-6.1806,106.8283,1,"Jakarta Post",National,"On 14 December 2015, young lawyers staged a protest in front of the Corruption Eradication Commission (KPK) headquarters in Central Jakarta. The rally was held to demand probity among the nation's judiciary.",0,,1663790297
IDN2686,"12 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,Bali,Denpasar,"North Denpasar",Denpasar,-8.65,115.2166,1,Tribunnews,National,"On 12 December 2015, a group of people held a peaceful protest in Denpasar city, Bali province, to promote peace after a riot broke out in Denpasar's prison the same day.",0,"crowd size=no report",1649355997
IDN2685,"12 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,"South Jakarta","Mampang Prapatan","Jakarta - South",-6.266,106.8135,1,Tribunnews,National,"On 12 December 2015, a group of people held a peaceful protest in South Jakarta City, Jakarta province, demanding fair compensation for their land, which was taken for hospital construction.",0,"crowd size=no report",1659475470
IDN698,"10 December 2015",2015,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)",,6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,Jakarta,,,Jakarta,-6.2146,106.845,1,"Amnesty International",Other,"On 10 December 2015, at least 12 human rights activists from human rights NGO KontraS staged a demonstration in Central Jakarta district, Jakarta city, to commemorate International Human Rights Day. The local police arrested them alleging they violated a new by-law of not providing proper warning. They were released without charges the same day.",0,"crowd size=12",1618442064
IDN2684,"10 December 2015",2015,1,Demonstrations,Riots,"Violent demonstration","Rioters (Indonesia)",,5,"Police Forces of Indonesia (2014-)",,1,15,,360,"Southeast Asia",Indonesia,"South Sulawesi",Gowa,"Somba Opu","Somba Opu",-5.2022,119.4496,1,Kompas,National,"On 10 December 2015, a riot broke out in Somba Opu district, Gowa regency, South Sulawesi province. Hundreds of rioters demanded the government investigate an election fraud allegation. They threw rocks at security forces, who responded by shooting tear gas. A policeman was injured.",0,"crowd size=hundreds",1649355997
IDN2682,"10 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Students (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"West Java",Bandung,Regol,Bandung,-6.9222,107.607,1,Tribunnews,National,"On 10 December 2015, a group of students held a peaceful protest in Bandung city, West Java province, regarding human rights violation in Indonesia.",0,"crowd size=no report",1649355997
IDN2683,"10 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Papuan Ethnic Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,Papua,Mimika,"Mimika Baru",Timika,-4.5514,136.8868,1,JPNN,National,"On 10 December 2015, a group of Papuan people held a peaceful protest in Timika town (Mimika Baru district, Mimika regency, Papua province), refusing the replacement of the public health clinic's head in their village.",0,"crowd size=no report",1657632894
IDN2681,"09 December 2015",2015,2,"Political violence",Riots,"Mob violence","Rioters (Indonesia)",,5,"Rioters (Indonesia)",,5,55,,360,"Southeast Asia",Indonesia,Lampung,Pesawaran,"Way Lima","Way Lima",-5.4168,105.0123,1,Kompas,National,"Around 9 December 2015, a group of people rioted in Way Lima district, Pesawaran regency, Lampung province. They were spreading fake news via pamphlets regarding a candidate in an election. The supporters of the candidate tried to stop them, but then the first group fired eight warning shots and beat two people.",0,"crowd size=no report",1649355997
IDN2680,"07 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,"West Java",Bogor,Cileungsi,Cileungsi,-6.397,106.9711,1,Tribunnews,National,"On 7 December 2015, dozens of people held a peaceful protest in Cileungsi district, Bogor regency, West Java province, to protest a construction project that caused a flood in their area.",0,"crowd size=dozens",1649355997
IDN405,"07 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Journalists (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"West Sumatra",Padang,"West Padang",Padang,-0.9492,100.3542,2,"Jakarta Post",National,"On 7 December 2015, dozens of journalists affiliated with the West Sumatra Anti-violence Journalists Coalition (KWAK) staged a rally at the temporary Padang headquarters of the West Sumatra Police. The protesters urged the police to immediately investigate a recent assault allegedly committed by a group of police personnel against a journalist from the neighboring Riau province.",0,,1650490679
IDN2679,"05 December 2015",2015,1,"Political violence",Riots,"Mob violence","Rioters (Indonesia)",,5,"Civilians (Indonesia)",,7,57,"Civilian targeting",360,"Southeast Asia",Indonesia,Lampung,"Central Lampung","Gunung Sugih","Gunung Sugih",-4.9808,105.2131,2,Kompas,National,"On 5 December 2015, around 15 people destroyed a campaign base of an election candidate in Central Lampung regency (Lampung province) (coded to Gunung Sugih). They were supporters of a rival candidate. They brought rocks, swords, machetes, and guns. A person was wounded.",0,"crowd size=around 15",1660656867
IDN2678,"03 December 2015",2015,1,Demonstrations,Riots,"Violent demonstration","Rioters (Indonesia)","Labor Group (Indonesia)",5,,,0,50,,360,"Southeast Asia",Indonesia,Riau,Pekanbaru,Sukajadi,Pekanbaru,0.5166,101.4416,1,Kompas,National,"On 3 December 2015, around a thousand of an oil and gas employees held a demonstration in Pekanbaru city, Riau province, demanding the company re-hire 82 fired subcontractors. They blockaded a road and the company's gate.",0,"crowd size=around 1,000",1649355997
IDN2677,"03 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Students (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"South Sulawesi",Makassar,Rappocini,Makassar,-5.1486,119.432,1,Kompas,National,"On 3 December 2015, hundreds of students held a peaceful protest in Makassar city, South Sulawesi province, criticizing the increase of robbery cases in their university.",0,"crowd size=hundreds",1649355997
IDN404,"03 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,Riau,Siak,Minas,Minas,0.7927,101.4664,1,"Jakarta Post",National,"On 3 December 2015, about 1,000 workers of PT Beasco Housing Maintenance, a subcontractor of PT Chevron Pacific Indonesia (CPI), rallied at the entrance of CPI's Minas Field in Siak regency, Riau. The rally was a repeat of a protest staged at the CPI entrance in Rumbai, Pekanbaru.",0,,1650490679
IDN2676,"02 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,Riau,Pekanbaru,Sukajadi,Pekanbaru,0.5166,101.4416,1,Tribunnews,National,"On 2 December 2015, around a thousand oil and gas employees held a peaceful protest in Pekanbaru city, Riau province, demanding the company give back their meal allowance.",0,"crowd size=around 1,000",1649355997
IDN2675,"02 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"South Sulawesi",Makassar,Rappocini,Makassar,-5.1486,119.432,1,Tribunnews,National,"On 2 December 2015, dozens of online taxi drivers held a peaceful protest in Makassar city, South Sulawesi province, demanding a fair treatment from their employer.",0,"crowd size=dozens",1649355997
IDN403,"02 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,Riau,Siak,Minas,Minas,0.7927,101.4664,1,Reuters,International,"On 2 December 2015, thousands of workers blocked access to the Minas oilfield operated by a unit of Chevron Corp in Indonesia's Riau province on the island of Sumatra protesting and demanding that 82 workers from a Chevron subcontractor be reinstated.",0,,1650490679
IDN402,"02 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Fishers (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,"North Jakarta",Koja,"Jakarta - North",-6.1327,106.8927,1,"Jakarta Post",National,"On 2 December 2015, fishers and local people conduct a theatrical demonstration in Muara Angke, North Jakarta to oppose the ongoing coastal reclamation project that is creating 17 man-made islands off Jakarta's coastline.",0,,1659475468
IDN2674,"01 December 2015",2015,1,"Political violence","Violence against civilians",Attack,"Police Forces of Indonesia (2014-)",,1,"Civilians (Indonesia)","Journalists (Indonesia); Papuan Ethnic Group (Indonesia)",7,17,"Civilian targeting",360,"Southeast Asia",Indonesia,Papua,Nabire,Nabire,Nabire,-3.3598,135.5007,1,HumanRightsPapua,Other,"On 1 December 2015, five police officers ill-treated a Papuan journalist at the Heroes cemetery in Nabire city, Papua province, after he was approached for taking pictures of police officers who were conducting vehicle checks. They forced him to delete his pictures, kicked him from behind and escorted him out.",0,,1576600005
IDN2670,"01 December 2015",2015,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)","Christian Group (Indonesia); Papuan Ethnic Group (Indonesia); Civilians (Indonesia); Journalists (Indonesia)",6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,Papua,Nabire,Nabire,Nabire,-3.3598,135.5007,1,"Papuans Behind Bars",Other,"On 1 December 2015, Papuan demonstrators assembled to hold a commemorative prayer session at Bunga Bangsa Papua Field in Nabire city, Papua province, and were forcibly dispersed by police who beat demonstrators with rifle butts and wooden beams. They arrested 32 of the demonstrators, and intimidated, harassed and beat the editor of a Papuan news site who was covering the event.",0,"crowd size=no report",1576600006
IDN2666,"01 December 2015",2015,2,"Political violence",Battles,"Armed clash","Military Forces of Indonesia (2014-)",,1,"TPNPB: West Papua National Liberation Army",,2,12,,360,"Southeast Asia",Indonesia,Papua,"Mamberamo Raya","Central Mamberamo","Central Mamberamo",-2.3588,138.012,2,Tribunnews,National,"Around the anniversary of OPM: Free Papua Movement on December 1, 2015, Indonesian military engaged in an armed clash with TPNPB: West Papua National Liberation Army in Membramo Raya regency, Papua province, coded as Central Membramo district. Two officers were killed.",2,,1641949207
IDN399,"01 December 2015",2015,1,"Political violence",Battles,"Armed clash","Police Forces of Indonesia (2014-)",,1,"TPNPB: West Papua National Liberation Army",,2,12,,360,"Southeast Asia",Indonesia,Papua,"Yapen Islands","South Yapen",Serui,-1.8802,136.2426,2,Kompas,National,"On 1 December 2015, Indonesian police engaged in an armed clash with TPNPB: West Papua National Liberation Army in Yapen Island regency, Papua province, coded as Serui district, during the celebration of OPM: Free Papuan Movement anniversary. Four members of TPNPB were killed, and eight others were injured.",4,,1649355997
IDN2671,"01 December 2015",2015,1,Demonstrations,Riots,"Violent demonstration","Rioters (Indonesia)","Papuan Ethnic Group (Indonesia); Students (Indonesia)",5,"Police Forces of Indonesia (2014-)",,1,15,,360,"Southeast Asia",Indonesia,Banten,Tangerang,Periuk,Tangerang,-6.1765,106.5799,1,"Tribunnews; Detik",National,"On 1 December 2015, a group of Papuan students rioted in Tangerang city, Banten province during a commemoration of the anniversary of the Free Papuan Movement. They attacked two Indonesian police. The rioters were arrested later.",0,"crowd size=no report",1649355997
IDN2667,"01 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"West Java",Bandung,Regol,Bandung,-6.9222,107.607,1,Tribunnews,National,"On 1 December 2015, thousands of online motorbike taxi drivers held a peaceful protest in Bandung city, West Java province, after their employer seized three motorbikes of the drivers.",0,"crowd size=thousands",1649355997
IDN400,"01 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"West Java",Bandung,Regol,Bandung,-6.9222,107.607,1,"Jakarta Post",National,"On 1 December 2015, hundreds of drivers employed by motorcycle taxi application Go-Jek rallied at Bandung City Hall in protest at being fined and suspended by the company.",0,,1650490679
IDN616,"01 December 2015",2015,1,"Political violence; Demonstrations",Protests,"Excessive force against protesters","Protesters (Indonesia)","Papuan Ethnic Group (Indonesia)",6,"Police Forces of Indonesia (2014-)",,1,16,"Civilian targeting",360,"Southeast Asia",Indonesia,Papua,"Yapen Islands",Angkaisera,Wanampompi,-1.8462,136.4385,1,"Amnesty International",Other,"On 1 December 2015, in Wanampompi village in Angkaisera district (Yapen Islands, Papua), Papuan pro-independence activists staged a rally and police used lethal force to intervene and disperse the activists, killing four people and injuring 8 others.",4,"crowd size=no report",1656429564
IDN2672,"01 December 2015",2015,1,"Political violence","Violence against civilians",Attack,"Military Forces of Indonesia (2014-)","Police Forces of Indonesia (2014-)",1,"Civilians (Indonesia)","Papuan Ethnic Group (Indonesia)",7,17,"Civilian targeting",360,"Southeast Asia",Indonesia,Papua,"Yapen Islands",Angkaisera,Wanampompi,-1.8462,136.4385,1,HumanRightsPapua,Other,"On 1 December 2015, joint security force members conducted a patrol in Wanampompi village in Angkaisera district, Yapen Island, Papua province, and shot and killed a local villager who approached to ask the purpose of the patrol. Those who attempted to help were fired at and two additional villagers were shot and killed. Many others were tortured.",3,,1656429564
IDN2668,"01 December 2015",2015,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","AMP: Papuan Students Alliance; Papuan Ethnic Group (Indonesia); Students (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,"Central Jakarta",Gambir,"Jakarta - Central",-6.1806,106.8283,1,"Tribunnews; Detik",National,"On 1 December 2015, hundreds of Papuan students from AMP: Papua Students Alliance held a peaceful protest in Central Jakarta City, Jakarta province, commemorating the anniversary of OPM: Free Papua Movement. They brought the OPM's flag and sharp weapon. But the protest was reportedly non-violent. However, the police intervened and dispersed the protest, as it did not have a permit.",0,"crowd size=hundreds",1663790297
IDN401,"01 December 2015",2015,1,"Political violence; Demonstrations",Protests,"Excessive force against protesters","Protesters (Indonesia)","AMP: Papuan Students Alliance; Civilians (Indonesia); Journalists (International); Papuan Ethnic Group (Indonesia); Students (Indonesia)",6,"Police Forces of Indonesia (2014-)","Police Forces of Indonesia (2014-) Mobile Brigade Corps",1,16,"Civilian targeting",360,"Southeast Asia",Indonesia,Jakarta,"Central Jakarta",Gambir,"Jakarta - Central",-6.1806,106.8283,1,"AFP; Papuans Behind Bars",Other-International,"On 1 December 2015, hundreds staged a demonstration in Central Jakarta, Jakarta city, in commemoration of the day West Papuans consider their national holiday. Demonstrators tried to march but were prevented in three locations by the police and Brimob from doing so. At one location, demonstrators tried to breach a barricade and officers responded with tear gas, throwing sticks and stones, and firing one blank and one live round at demonstrators. They also beat and kicked demonstrators. Two foreign journalists were intimidated and harassed for covering the violence. 306 demonstrators were arrested, most of which were Papuan students and members of AMP. 133 of which suffered injuries/health complications from the treatment.",0,"crowd size=hundreds",1663790297
