event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
IDN632,"19 December 2016",2016,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)",,6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,Gorontalo,Gorontalo,"East City",Gorontalo,0.5375,123.0625,1,"Amnesty International",Other,"On 19 December 2016, at least 528 people, including children, were arrested for coordinated peaceful political activities in cities across Indonesia. This included Gorontalo city. Everyone was released the next day without charge.",0,"crowd size=no report",1618531861
IDN634,"19 December 2016",2016,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)",,6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,"North Sulawesi",Manado,Tikala,Manado,1.4821,124.8489,1,"Amnesty International",Other,"On 19 December 2016, at least 528 people, including children, were arrested for coordinated peaceful political activities in cities across Indonesia. This included Manado city, North Sulawesi province. Everyone was released the next day without charge.",0,"crowd size=no report",1618531861
IDN3001,"19 December 2016",2016,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia); ULMWP: United Liberation Movement for West Papua",6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,Papua,Nabire,Nabire,Nabire,-3.3598,135.5007,1,"HumanRightsPapua; Free West Papua Campaign",Other,"On 19 December 2016, a demonstration against the first Indonesian military invasion in 1961 and in support of the ULMWP's full membership of the MSG was held in Nabire city, Papua province, during which the police arrested 75 demonstrators. Demonstrators were ill-treated by police, forcing them to smear their faces with coal and beaten with a cane.",0,"crowd size=75",1576600004
IDN3012,"19 December 2016",2016,1,"Political violence","Violence against civilians",Attack,"Police Forces of Indonesia (2014-)",,1,"Civilians (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia); Prisoners (Indonesia)",7,17,"Civilian targeting",360,"Southeast Asia",Indonesia,Papua,Jayapura,"North Jayapura",Jayapura,-2.5337,140.718,1,"HumanRightsPapua; Amnesty International",Other,"On 19 December 2016, 37 demonstrators were arrested for coordinated peaceful political activities in cities across Indonesia. This included EXPO Waena, Jayapura city, Papua province, some of whom were subjected to torture/ill-treatment. Everyone was released the next day without charge, except two activists from the KNPB who remained in detention by the Jayapura Resort Police.",0,"crowd size=37",1618531672
IDN3006,"19 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia); ULMWP: United Liberation Movement for West Papua",6,,,0,60,,360,"Southeast Asia",Indonesia,"South Sulawesi",Makassar,Rappocini,Makassar,-5.1486,119.432,1,"Free West Papua Campaign",Other,"On 19 December 2016, many KNPB members demonstrated in cities across Indonesia, including in Makassar city, South Sulawesi province, in support of the ULMWP's full membership of the MSG.",0,"crowd size=no report",1618531670
IDN3010,"19 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia); Students (Indonesia); ULMWP: United Liberation Movement for West Papua",6,,,0,60,,360,"Southeast Asia",Indonesia,"North Maluku",Ternate,"Central Ternate",Ternate,0.7907,127.3842,1,"Free West Papua Campaign",Other,"On 19 December 2016, many KNPB members demonstrated in cities across Indonesia, including in Ternate city, North Maluku province, in support of the ULMWP's full membership of the MSG.",0,"crowd size=no report",1618531671
IDN3002,"19 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia); ULMWP: United Liberation Movement for West Papua",6,,,0,60,,360,"Southeast Asia",Indonesia,Maluku,Ambon,Sirimau,Ambon,-3.6958,128.1833,1,"Free West Papua Campaign",Other,"On 19 December 2016, many KNPB members demonstrated in cities across Indonesia, including in Ambon city, Maluku province, in support of the ULMWP's full membership in the MSG.",0,"crowd size=no report",1618531669
IDN3004,"19 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia); ULMWP: United Liberation Movement for West Papua",6,,,0,60,,360,"Southeast Asia",Indonesia,Papua,Yahukimo,Dekai,Dekai,-4.8591,139.4738,2,"Free West Papua Campaign",Other,"On 19 December 2016, many KNPB members demonstrated in cities across Indonesia, including in Yahukimo regency, Papua province, in support of the ULMWP's full membership of the MSG.",0,"crowd size=no report",1576600005
IDN3007,"19 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia); ULMWP: United Liberation Movement for West Papua",6,,,0,60,,360,"Southeast Asia",Indonesia,"West Papua",Manokwari,"West Manokwari",Manokwari,-0.8629,134.064,1,"Free West Papua Campaign",Other,"On 19 December 2016, many KNPB members demonstrated in cities across Indonesia, including in Manokwari city, West Papua province, in support of the ULMWP's full membership of the MSG.",0,"crowd size=no report",1618531670
IDN3009,"19 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia); ULMWP: United Liberation Movement for West Papua",6,,,0,60,,360,"Southeast Asia",Indonesia,"West Papua",Sorong,"Sorong Manoi",Sorong,-0.8795,131.261,1,"Free West Papua Campaign",Other,"On 19 December 2016, many KNPB members demonstrated in cities across Indonesia, including in Sorong city, West Papua province, in support of the ULMWP's full membership of the MSG.",0,"crowd size=no report",1618531671
IDN3008,"19 December 2016",2016,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)","Papuan Ethnic Group (Indonesia)",6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,Papua,Nabire,Nabire,Nabire,-3.3598,135.5007,1,HumanRightsPapua,Other,"On 19 December 2016, a demonstration for the commemoration of the first Indonesian military invasion in 1961 was held in Nabire city, Papua province, during which the police arrested 75 demonstrators.",0,"crowd size=75",1576600005
IDN3003,"19 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia); ULMWP: United Liberation Movement for West Papua",6,,,0,60,,360,"Southeast Asia",Indonesia,"West Java",Bandung,Regol,Bandung,-6.9222,107.607,1,"Free West Papua Campaign",Other,"On 19 December 2016, many KNPB members along with students demonstrated in cities across Indonesia, including in Bandung city, West Java province, in support of the ULMWP's full membership of the MSG.",0,"crowd size=no report",1618531670
IDN3005,"19 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia); ULMWP: United Liberation Movement for West Papua",6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,,,Jakarta,-6.2146,106.845,1,"Free West Papua Campaign",Other,"On 19 December 2016, many KNPB members demonstrated in cities across Indonesia, including in Jakarta city, in support of the ULMWP's full membership of the MSG.",0,"crowd size=no report",1618442062
IDN637,"19 December 2016",2016,1,"Political violence; Demonstrations",Protests,"Excessive force against protesters","Protesters (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia); Prisoners (Indonesia)",6,"Police Forces of Indonesia (2014-)",,1,16,"Civilian targeting",360,"Southeast Asia",Indonesia,Papua,Jayawijaya,Wamena,Wamena,-4.0951,138.9449,1,"HumanRightsPapua; Amnesty International",Other,"On 19 December 2016, at least 165 people, including women and children, were arrested from KNPB offices for coordinating peaceful political activities in cities across Indonesia. This included around 10,000 people marching in Wamena town (Jayawijaya regency, Papua province) in support of the ULMWP's full membership of the MSG. Some were subjected to torture/ill-treatment. Everyone was released the next day without charge.",0,"crowd size=10000",1657632894
IDN635,"19 December 2016",2016,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)","Papuan Ethnic Group (Indonesia)",6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,Papua,Merauke,Merauke,Merauke,-8.4995,140.4061,1,"Amnesty International",Other,"On 19 December 2016, at least 528 people, including children, were arrested for coordinated peaceful political activities in cities across Indonesia. This included Merauke district (Merauke regency, Papua province). Everyone was released the next day without charge.",0,"crowd size=no report",1657632894
IDN3011,"19 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia); ULMWP: United Liberation Movement for West Papua",6,,,0,60,,360,"Southeast Asia",Indonesia,Papua,Mimika,"Mimika Baru",Timika,-4.5514,136.8868,1,"Free West Papua Campaign",Other,"On 19 December 2016, many KNPB members demonstrated in cities across Indonesia, including in Timika town (Mimika Baru district, Mimika regency, Papua province), in support of the ULMWP's full membership of the MSG.",0,"crowd size=no report",1657632894
IDN3000,"18 December 2016",2016,1,"Political violence","Violence against civilians",Attack,"Police Forces of Indonesia (2014-)",,1,"Civilians (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia)",7,17,"Civilian targeting",360,"Southeast Asia",Indonesia,Papua,Jayawijaya,Wamena,Wamena,-4.0951,138.9449,1,HumanRightsPapua,Other,"On 18 December 2016, the police raided the local KNPB office in Wamena town (Jayawijaya regency, Papua province), and arrested 62 KNPB members including women and children. Some were subjected to torture/ill-treatment.",0,,1657632894
IDN2999,"09 December 2016",2016,1,"Strategic developments","Strategic developments",Arrests,"Police Forces of Indonesia (2014-)",,1,"Civilians (Indonesia)","Papuan Ethnic Group (Indonesia)",7,17,,360,"Southeast Asia",Indonesia,Papua,Jayapura,"North Jayapura",Jayapura,-2.5337,140.718,1,HumanRightsPapua,Other,"On 9 December 2016, the police arrested 31 activists who were distributing leaflets for the commemoration of international human rights day in Jayapura city, Papua province.",0,,1618531668
IDN2998,"08 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,Riau,Pekanbaru,Sukajadi,Pekanbaru,0.5166,101.4416,1,Tempo,National,"On 8 December 2016, a group of people held a peaceful protest in Pekanbaru city, Riau province, commemorating Anti Corruption Day. They demanded the government investigate corruption cases in Riau.",0,"crowd size=no report",1649876513
IDN216,"06 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","PAS: Perkumpulan Armada Sewa",6,,,0,60,,360,"Southeast Asia",Indonesia,"West Java",Bandung,Regol,Bandung,-6.9222,107.607,1,"Jakarta Post",National,"On 6 December 2016, in Bandung (Bandung, West Java), there was a protest by dozens of Ahlu Sunnah Defenders (PAS) members against services of The Reformed Injili Indonesia Church.",0,,1651182384
IDN2997,"05 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,"East Java",Gresik,Gresik,Gresik,-7.1538,112.6561,1,Tribunnews,National,"On 5 December 2016, a group of people held a peaceful protest in front of a factory in Gresik city, East Java province, demanding the factory prioritize locals when hiring new employees.",0,"crowd size=no report",1649876513
IDN211,"02 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","FPI: Islamic Defenders Front; Muslim Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,,,Jakarta,-6.2146,106.845,1,"Tempo; US State Department",Other-National,"On 2 December 2016, 200,000 to 450,000 people organized by the FPI and other Muslim groups staged a massive demonstration against Jakarta Governor Basuki 'Ahok' Tjahaja Purnama in Jakarta city.",0,"crowd size=300,000",1618442062
IDN2996,"02 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Health Workers (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"North Maluku",Ternate,"Central Ternate",Ternate,0.7907,127.3842,1,Kompas,National,"On 2 December 2016, dozens of medical workers held a peaceful protest in front of a hospital in Ternate city, North Maluku province, demanding the payment of their salary and health insurance.",0,"crowd size=dozens",1649876513
IDN2990,"02 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"West Java",Bandung,Regol,Bandung,-6.9222,107.607,1,Tempo,National,"On 2 December 2016, a group of laborers held a peaceful protest in Bandung city, West Java province, demanding the government change the regulation regarding labor's salary. They also demanded the arrest of the Jakarta governor, who allegedly insulted Islam. Similar protests were held in several cities in Indonesia.",0,"crowd size=no report",1649876513
IDN2993,"02 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"North Sumatra",Medan,"Medan Baru",Medan,3.5833,98.6666,1,Tempo,National,"On 2 December 2016, a group of laborers held a peaceful protest in Medan city, North Sumatra province, demanding the government change the regulations regarding laborer salaries. They also demanded the arrest of the Jakarta governor, who allegedly insulted Islam. Similar protests were held in several cities in Indonesia.",0,"crowd size=no report",1649876513
IDN2995,"02 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"East Java",Surabaya,Genteng,Surabaya,-7.2492,112.751,1,Tempo,National,"On 2 December 2016, a group of laborers held a peaceful protest in Surabaya city, East Java province, demanding the government change the regulations regarding laborer salaries. They also demanded the arrest of Jakarta governor, who allegedly insulted Islam. Similar protests were held in several cities in Indonesia.",0,"crowd size=no report",1649876513
IDN2994,"02 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"Central Java",Semarang,"Central Samalang",Semarang,-6.9913,110.426,1,Tempo,National,"On 2 December 2016, a group of laborers held a peaceful protest in Semarang city, Central Java province, demanding the government change the regulations regarding laborers salaries. They also demanded the arrest of the Jakarta governor, who allegedly insulted Islam. Similar protests were held in several cities in Indonesia.",0,"crowd size=no report",1649876513
IDN212,"02 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Muslim Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"North Sumatra",Medan,"Medan Baru",Medan,3.5833,98.6666,1,"Jakarta Post",National,"On 2 December 2016, in Medan (Medan, North Sumatra), protestors took out a massive demonstration against Jakarta Governor Basuki 'Ahok' Tjahaja Purnama.",0,,1651182384
IDN215,"02 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Muslim Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"Central Java",Surakarta,Banjarsari,Surakarta,-7.5561,110.832,1,"Jakarta Post",National,"On 2 December 2016, in Surakarta (Surakarta, Central Java), protestors took out a massive demonstration against Jakarta Governor Basuki 'Ahok' Tjahaja Purnama.",0,,1651182384
IDN213,"02 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Muslim Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"Central Java",Semarang,"Central Samalang",Semarang,-6.9913,110.426,1,"Jakarta Post",National,"On 2 December 2016, in Semarang (Semarang, Central Java), protestors took out a massive demonstration against Jakarta Governor Basuki 'Ahok' Tjahaja Purnama.",0,,1651182384
IDN214,"02 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Muslim Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"South Sulawesi",Makassar,Rappocini,Makassar,-5.1486,119.432,1,"Jakarta Post",National,"On 2 December 2016, in Makassar (Makassar, South Sulawesi), protestors took out a massive demonstration against Jakarta Governor Basuki 'Ahok' Tjahaja Purnama.",0,,1651182384
IDN2992,"02 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,"Central Jakarta",Gambir,"Jakarta - Central",-6.1806,106.8283,1,Tempo,National,"On 2 December 2016, a group of laborers held a peaceful protest in Central Jakarta City, Jakarta province, demanded the government change the regulation regarding labor's salary. They also demanded the arrest of Jakarta governor, who allegedly insulted Islam. Similar protests were held in several cities in Indonesia.",0,"crowd size=no report",1663790297
IDN2991,"02 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Labor Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,"Riau Islands",Batam,"Sei Beduk",Batam,1.0521,104.0285,1,Tempo,National,"On 2 December 2016, a group of laborers held a peaceful protest in Batam city, Riau Islands province, demanded the government change the regulation regarding labor's salary. They also demanded the arrest of Jakarta governor, who allegedly insulted Islam. Similar protests were held in several cities in Indonesia.",0,"crowd size=no report",1667339305
IDN2989,"01 December 2016",2016,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)","Papuan Ethnic Group (Indonesia)",6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,Yogyakarta,Yogyakarta,Danurejan,Yogyakarta,-7.795,110.369,1,HumanRightsPapua,Other,"On 1 December 2016, a long march was held in commemoration of 1 December in Yogyakarta city, during which the police arbitrarily arrested 14 demonstrators.",0,"crowd size=14",1618531665
IDN2988,"01 December 2016",2016,1,"Political violence; Demonstrations",Protests,"Excessive force against protesters","Protesters (Indonesia)","Papuan Ethnic Group (Indonesia)",6,"Police Forces of Indonesia (2014-)",,1,16,"Civilian targeting",360,"Southeast Asia",Indonesia,Jakarta,,,Jakarta,-6.2146,106.845,1,HumanRightsPapua,Other,"On 1 December 2016, a long march was held in commemoration of 1 December in Jakarta city, during which the police arbitrarily arrested 203 demonstrators, and some were subjected to torture/ill-treatment.",0,"crowd size=203",1618442062
IDN210,"25 November 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","HMI: Muslim Students Association",6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,"Central Jakarta",Gambir,"Jakarta - Central",-6.1806,106.8283,1,"Jakarta Post",National,"On 25 November 2016, in Menteng (Central Jakarta, Jakarta), members of the Islamic Students Association (HMI) and volunteers of humanitarian organization Aksi Cepat Tanggap (ACT) held a protest in front of the Myanmar Embassy, condemning the unjust treatment received by Rohingya Muslims in Myanmar and demanding the government kick Myanmar representatives out of the country.",0,,1663790297
IDN209,"24 November 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,"South Jakarta","Mampang Prapatan","Jakarta - South",-6.266,106.8135,1,"Jakarta Post",National,"On 24 November 2016, in Kebayoran Baru (South Jakarta, Jakarta), activists staged a protest at the House of Representatives, encouraging the legislature's ethics council (MKD) to investigate alleged ethics violations by House Speaker Ade.",0,,1659475468
IDN2987,"22 November 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Muslim Group (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,"East Jakarta",Makasar,"Jakarta - East",-6.2452,106.9005,1,Tribunnews,National,"On 22 November 2016, around 50 people held a peaceful protest in East Jakarta City, Jakarta province, rejecting the visit of Jakarta governor to their area. The governor had allegedly insulted Islam.",0,"crowd size=around 50",1659475470
IDN2986,"19 November 2016",2016,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)","Christian Group (Indonesia); KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia)",6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,"West Papua",Sorong,"Sorong Manoi",Sorong,-0.8795,131.261,1,HumanRightsPapua,Other,"On 19 November 2016, a prayer session and demonstration was held for the anniversary of KNPB in Sorong city, West Papua province, during which the police arbitrarily arrested 109 demonstrators.",0,"crowd size=109",1618531665
IDN2985,"16 November 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)","Farmers (Indonesia)",6,,,0,60,,360,"Southeast Asia",Indonesia,Jakarta,"Central Jakarta",Gambir,"Jakarta - Central",-6.1806,106.8283,1,Tribunnews,National,"On 16 November 2016, hundreds of tobacco farmers held a peaceful protest in front of the parliament building in Central Jakarta city, Jakarta province. They urged the government to sign the tobacco bill to protect the industry.",0,"crowd size=hundreds",1663790297
IDN2984,"14 November 2016",2016,1,"Political violence",Riots,"Mob violence","Rioters (Indonesia)",,5,"Civilians (Indonesia)","Buddhist Group (Indonesia)",7,57,"Civilian targeting",360,"Southeast Asia",Indonesia,"West Kalimantan",Singkawang,"West Singkawang",Singkawang,0.9092,108.9846,1,"US State Department",Other,"On 14 November 2016, a Molotov cocktail was thrown at a Buddhist temple in Singkawang city, West Kalimantan province early in the morning.",0,,1618531664
IDN2982,"14 November 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,"South Sulawesi","East Luwu",Towuti,Towuti,-2.6865,121.4154,1,Tribunnews,National,"On 14 November 2016, a group of people held a peaceful protest in Towuti district, East Luwu regency, South Sulawesi province, regarding a land dispute between them and a mining company. They demanded the mining company not interfering their farming activity. Similar protests held in other districts the same day.",0,"crowd size=no report",1649876513
IDN2983,"14 November 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,"South Sulawesi","East Luwu",Wasuponda,Wosuponda,-2.5526,121.2076,1,Tribunnews,National,"On 14 November 2016, a group of people held a peaceful protest in Wosuponda district, East Luwu regency, South Sulawesi province, regarding a land dispute between them and a mining company. They demanded the mining company not interfering their farming activity. Similar protests held in other districts the same day.",0,"crowd size=no report",1649876513
IDN2981,"14 November 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,"South Sulawesi","East Luwu",Nuha,Nuha,-2.4205,121.1534,1,Tribunnews,National,"On 14 November 2016, a group of people held a peaceful protest in Nuha district, East Luwu regency, South Sulawesi province, regarding a land dispute between them and a mining company. They demanded the mining company not interfere in their farming activity. Similar protests held in other districts the same day.",0,"crowd size=no report",1649876513
